Country,Ranking
New Zealand,1
Singapore,2
Hong Kong,3
Denmark,4
Korea,5
United States,6
Georgia,7
United Kingdom,8
Norway,9
Sweden,10
Lithuania,11
Malaysia,12
Mauritius,13
Australia,14
Taiwan,15
United Arab Emirates,16
North Macedonia,17
Estonia,18
Latvia,19
Finland,20
Thailand,21
Germany,22
Canada,23
Ireland,24
Kazakhstan,25
Iceland,26
Austria,27
Russian Federation,28
Japan,29
Spain,30
China,31
France,32
Turkey,33
Azerbaijan,34
Israel,35
Switzerland,36
Slovenia,37
Rwanda,38
Portugal,39
Poland,40
Czech Republic,41
Netherlands,42
Bahrain,43
Serbia,44
Slovak Republic,45
Belgium,46
Armenia,47
Moldova,48
Belarus,49
Montenegro,50
Croatia,51
Hungary,52
Morocco,53
Cyprus,54
Romania,55
Kenya,56
Kosovo,57
Italy,58
Chile,59
Mexico,60
Bulgaria,61
Saudi Arabia,62
India,63
Ukraine,64
Puerto Rico,65
Brunei Darussalam,66
Colombia,67
Oman,68
Uzbekistan,69
Vietnam,70
Jamaica,71
Luxembourg,72
Indonesia,73
Costa Rica,74
Jordan,75
Peru,76
Qatar,77
Tunisia,78
Greece,79
Kyrgyz Republic,80
Mongolia,81
Albania,82
Kuwait,83
South Africa,84
Zambia,85
Panama,86
Botswana,87
Malta,88
Bhutan,89
Bosnia and Herzegovina,90
El Salvador,91
San Marino,92
St. Lucia,93
Nepal,94
Philippines,95
Guatemala,96
Togo,97
Samoa,98
Sri Lanka,99
Seychelles,100
Uruguay,101
Fiji,102
Tonga,103
Namibia,104
Trinidad and Tobago,105
Tajikistan,106
Vanuatu,107
Pakistan,108
Malawi,109
Côte d'Ivoire,110
Dominica,111
Djibouti,112
Antigua and Barbuda,113
Egypt,114
Dominican Republic,115
Uganda,116
West Bank and Gaza,117
Ghana,118
Bahamas,119
Papua New Guinea,120
Eswatini,121
Lesotho,122
Senegal,123
Brazil,124
Paraguay,125
Argentina,126
Iran,127
Barbados,128
Ecuador,129
St. Vincent and the Grenadines,130
Nigeria,131
Niger,132
Honduras,133
Guyana,134
Belize,135
Solomon Islands,136
Cabo Verde,137
Mozambique,138
St. Kitts and Nevis,139
Zimbabwe,140
Tanzania,141
Nicaragua,142
Lebanon,143
Cambodia,144
Palau,145
Grenada,146
Maldives,147
Mali,148
Benin,149
Bolivia,150
Burkina Faso,151
Mauritania,152
Marshall Islands,153
Lao PDR,154
Gambia,155
Guinea,156
Algeria,157
Micronesia,158
Ethiopia,159
Comoros,160
Madagascar,161
Suriname,162
Sierra Leone,163
Kiribati,164
Myanmar,165
Burundi,166
Cameroon,167
Bangladesh,168
Gabon,169
São Tomé and Príncipe,170
Sudan,171
Iraq,172
Afghanistan,173
Guinea-Bissau,174
Liberia,175
Syrian Arab Republic,176
Angola,177
Equatorial Guinea,178
Haiti,179
Congo,180
Timor-Leste,181
Chad,182
Congo,183
Central African Republic,184
South Sudan,185
Libya,186
Yemen,187
Venezuela,188
Eritrea,189
Somalia,190
